"チーム","試合数","平均勝点","勝","勝率","分","負","ＰＫ勝","ＰＫ負","得点","平均得点","失点","平均失点","警告総数","平均警告数","警告２枚退場","退場総数","出場選手平均年齢","スタメン平均年齢"
"北海道コンサドーレ札幌","38","1.394736842105263","16","42.10526315789473","5","17","0","0","50","1.3157894736842106","63","1.6578947368421053","56","1.4736842105263157","1","5","27.316309719934104","27.3444976076555"
"ベガルタ仙台","38","1.631578947368421","16","42.10526315789473","14","8","0","0","47","1.236842105263158","36","0.9473684210526315","49","1.2894736842105263","1","2","25.673841059602648","26.26555023923445"
"モンテディオ山形","38","1.394736842105263","15","39.473684210526315","8","15","0","0","58","1.5263157894736843","54","1.4210526315789473","57","1.5","0","1","27.04950495049505","27.23444976076555"
"水戸ホーリーホック","38","1.8421052631578947","20","52.63157894736842","10","8","0","0","55","1.4473684210526316","34","0.8947368421052632","39","1.0263157894736843","0","1","25.082918739635158","25.215311004784688"
"ＲＢ大宮アルディージャ","38","1.6578947368421053","18","47.368421052631575","9","11","0","0","60","1.5789473684210527","39","1.0263157894736843","54","1.4210526315789473","2","3","27.23873121869783","27.351674641148325"
"ジェフユナイテッド千葉","38","1.8157894736842106","20","52.63157894736842","9","9","0","0","56","1.4736842105263157","34","0.8947368421052632","48","1.263157894736842","1","2","28.533222591362126","28.667464114832537"
"ヴァンフォーレ甲府","38","1.1578947368421053","11","28.947368421052634","11","16","0","0","37","0.9736842105263158","45","1.1842105263157894","39","1.0263157894736843","1","2","27.358333333333334","27.3444976076555"
"カターレ富山","38","0.9736842105263158","9","23.684210526315788","10","19","0","0","34","0.8947368421052632","49","1.2894736842105263","36","0.9473684210526315","0","0","26.31758957654723","26.354066985645932"
"ジュビロ磐田","38","1.6842105263157894","19","50","7","12","0","0","59","1.5526315789473684","51","1.3421052631578947","50","1.3157894736842106","0","0","27.620462046204622","28.126794258373206"
"徳島ヴォルティス","38","1.7105263157894737","18","47.368421052631575","11","9","0","0","45","1.1842105263157894","24","0.631578947368421","70","1.8421052631578947","0","1","27.068852459016394","27.504784688995215"
"愛媛ＦＣ","38","0.5789473684210527","3","7.894736842105263","13","22","0","0","35","0.9210526315789473","71","1.868421052631579","40","1.0526315789473684","0","1","24.84271523178808","25.24641148325359"
"サガン鳥栖","38","1.5263157894736843","16","42.10526315789473","10","12","0","0","46","1.2105263157894737","43","1.131578947368421","40","1.0526315789473684","0","1","24.744262295081967","25.239234449760765"
"Ｖ・ファーレン長崎","38","1.8421052631578947","19","50","13","6","0","0","63","1.6578947368421053","44","1.1578947368421053","47","1.236842105263158","0","1","28.47603305785124","28.913875598086126"
"ロアッソ熊本","38","0.9736842105263158","9","23.684210526315788","10","19","0","0","41","1.0789473684210527","57","1.5","38","1","1","1","25.797202797202797","25.97846889952153"
"大分トリニータ","38","1","8","21.052631578947366","14","16","0","0","27","0.7105263157894737","44","1.1578947368421053","46","1.2105263157894737","0","2","27.087314662273474","27.27751196172249"
"ブラウブリッツ秋田","38","1.131578947368421","11","28.947368421052634","10","17","0","0","43","1.131578947368421","59","1.5526315789473684","57","1.5","0","2","27.4527027027027","27.696172248803826"
"藤枝ＭＹＦＣ","38","1.0263157894736843","9","23.684210526315788","12","17","0","0","41","1.0789473684210527","50","1.3157894736842106","56","1.4736842105263157","1","1","26.331114808652245","26.210526315789473"
"ＦＣ今治","38","1.394736842105263","13","34.21052631578947","14","11","0","0","46","1.2105263157894737","46","1.2105263157894737","56","1.4736842105263157","2","4","25.765993265993266","25.916267942583733"
"レノファ山口ＦＣ","38","0.9473684210526315","7","18.421052631578945","15","16","0","0","36","0.9473684210526315","47","1.236842105263158","36","0.9473684210526315","1","3","25.804918032786887","25.586124401913874"
"いわきＦＣ","38","1.4736842105263157","15","39.473684210526315","11","12","0","0","55","1.4473684210526316","44","1.1578947368421053","45","1.1842105263157894","1","2","23.640759930915372","23.89712918660287"
